song,artist,easy,hard,special,bpm
MilK,モリモリあつし,3,10,15,150
Mont Blanc,The Night Keepers,3,8,12,
MOTHER,THE SxPLAY,3,8,14,
MUSIC BOX,Prince of Wales,3,10,15,158
My Real Eden,THE SxPLAY,4,7,12,
Nightingale,Wing翼 ft. 佑可猫,3,7,12,120
NO NIGHT MORE SOUL!,ねこみりん,6,15,15,165
Noël,モリモリあつし vs. uma,5,12,17,110
Nyx -Fatal Arousal Of Madness-,FIG,8,13,17,
One Happy Thing A Day,The Night Keepers,4,7,14,
Ouroboros ~Infinite Circulation~,DLight,5,13,15,205†
Overclock,Qrabit,3,9,15,154
Owari to Hajimari no Oto,梅干茶漬け,5,12,16,201
PяayStation,Ras,20,18,41,142
Paraline,村瀬悠太,6,9,14,132
Party Rave,siqlo,3,7,13,145
Passionate Sonatine,ampstyle,4,9,14,
Persona Circus,EunoH,6,12,15,128
Perspectives,KIVΛ & Nikki Simmons,3,9,13,
pheneX,sky_delta,4,12,15,194
Platinum,jioyi,8,12,16,182
popotnik ~ The Traveller of Ljubljana,LhoU,3,12,15,130
post-script,the hoshizora project,2,7,12,165
POWERBOMB,tko,7,14,16,
PrayStation,Ras,6,11,15,142
PrayStation (HiTECH NINJA Remix),HiTECH NINJA,7,13,15,153
PRETTY DOG,Mai Aoyagi,5,13,12,116
Promise from Another World*,来兎,3,9,13,140
PUPA,モリモリあつし,6,10,16,202
Pure Powerstomper,M-Project feat. Jonjo,6,12,15,123.9-177
PUSH-START ADVENTURE!,Ponkichi,5,9,15,191
Qualia,KIVΛ,5,14,13,160
Race Is On,Paul Bazooka,4,10,15,175
Ragnarok,FIG,3,13,15,188
Ragnarok,Noah,8,15,17,200
RAINBOW,かみじょうゆうや,4,8,11,138
Rainbow adventure,LunaSafari feat. Tawa,4,10,14,135
Rainbow Light,こふ,4,10,16,190
Raise an army,Analog digitaL feat. Isao,5,9,15,
Ramen is God,Ice vs Godspeed,8,16,16,
Raver's Paradise,Mr. Fantastic,5,12,14,
"Re:sound, From the Full moon World.",Ayatsugu_Otowa,1,7,12,86.5
Ready For The Fight,NaiveDog,2,9,13,140
REBELLIUM,Section9,5,11,15,200
Refel,Sakuzyo,5,8,12,167
Return Of The Prodigy*,来兎 feat. 聖奈,5,10,14,
Revival,TQ☆,2,12,13,136
Road,The Night Keepers,2,9,13,
Rotating Sky,ChouYawa,4,10,13,150
Ruination,5argon,1,9,14,166
Run Lads Run,KillerBlood,6,14,16,160†
Running Out Of Life,Alpha Legion,6,10,14,
Sacred,RABPIT,4,13,15,150
Saika,RABPIT,3,10,13,145
Sanctity,RABPIT,5,9,14,143
Sayonara Express,stereoberry feat. Itsuka,4,9,14,172
scent,Farhan,3,7,13,168
Scherzo,権太夫,2,8,14,180
Second Breath,EnvyJäger,4,10,13,135
seek,kamome sano,7,13,15,140
Seishun Nitro,freshtomato,5,8,13,188
Shamisen Drives The Wind,Kitkit Lu,4,9,12,140
Silent Voice,Nardis,3,10,13,125
Sky Love Fantasia,stereoberry,4,10,14,140
Sky-HIGH,sound pulse,5,11,14,139
SMILE GENERATION,Tatsh feat. 小田ユウ,4,9,15,182
Snow,The Night Keepers,1,6,12,98
Snow Blossom,yuritoworks.,3,8,12,
SnowFlake,Lunatic Sounds,4,12,15,170
Snowflakes,N.M.S.T,2,9,15,174
Snowman,M-O-T-U,3,10,13,170
Something Spicy,KillerBlood,5,11,15,180
Sonic Stream,NS-Factory,3,11,14,150
Soul in Call,Dachs,4,11,14,135
Spring,"Rave Cyanide, RiraN",4,8,15,132
spring snowflake flower,masaki kawasaki,4,9,15,136-116†
Sprout,HALLPBESTUDIO,2,6,10,80
Statical Improvement,SECTION,4,7,13,128
SupaMax,Paul Bazooka,5,10,14,140
Stay,Night Keepers,1,6,12,110
Take That Ticket,THE SxPLAY,5,11,15,128
The Black Case,KillerBlood,3,8,13,156
The debt of love.,"52Hz, I love you",3,7,12,130
The Graduate,Subaco Akimoto,1,9,13,98
The Longest Night,Euchaeta,4,15,13,95
They seem like blossoms yet…,空氣載體 Air Carrier,3,8,12,110
Time Phase Pt.1,Ayatsugu_Otowa,1,8,11,120†
Time Travel,黒瀬マナミ,5,10,14,158
Time Traveller,Iris,2,9,13,140
Tipsy Dessert,クエン酸P,1,9,14,134
To My Friend,TechniKen,5,11,15,130
To next page,kamome sano,7,12,14,176
Today was a bad day,黒瀬マナミ,2,10,13,150
Tougenkyou,MYTK,5,10,15,185
Toys Etude,soyomogi,4,9,14,178
Transparency,Jun Kuroda,3,10,13,174
Tsuioku,Kobayashi Project,4,11,14,169
Tsukiyura,mitssi,3,12,15,145
Twinkle wink,Sanaas & hurce,3,12,15,180
Ultimate Weapon pt.2,Polysha,4,12,14,185
Unbalance Voice,Clotho,3,9,14,136
UNiCoЯE,Ryazan,8,14,16,188
Until the Blue Moon Rises,Plutian,5,10,15,139
Usual Groove,Mr. Fantastic,4,6,13,
Valle De Los Caídos,Triodust,3,5,14,100
Vieille Ville,モリモリあつし+Ujico*,5,10,14,196
Violet,eyemedia,6,15,14,152
Warp Drive,Titancube,4,8,13,170
White Dwarf Stars,Jun Kuroda,4,12,16,183
Wilt,VerseQuence (MJQ・Eri),1,8,12,140
wish upon a shooting star,SUi,3,10,14,128
WonderWing,Sakuzyo,8,15,16,149
Yaoyue,権太夫,4,9,15,132
Yggdrasil,MYTK,3,11,15,180
Yoake o matsu kimi no uta,TAKU1175,4,12,15,181
Yume sakura,A La` Cr-ｱﾗｸﾛﾑ,5,8,14,150
-tokashite-,sound pulse,3,9,14,201
この夏をうたって,テヅカ(Tezuka Mizki),6,11,15,
そんなに私を期待させないで,上村叶恵,3,9,13,160
双龍飛閃-Dual Dragoon-,Daisuke Ohnuma,5,10,16,212
